seed,epoch,train_reconstruction_loss,validation_reconstruction_loss,runtime_seconds,device
42,1,0.028007160277800126,0.006918601091206074,63.804548599990085,cpu
42,2,0.005739582769640468,0.005163225193321705,51.05820400000084,cpu
42,3,0.004522041075473482,0.003904637037590146,49.677657500025816,cpu
42,4,0.003790209914710034,0.0035060579240322113,51.163498000008985,cpu
42,5,0.003347039885514162,0.0031764611784368753,53.983747499994934,cpu
123,1,0.025906551900438286,0.008530903565883636,61.80766689986922,cpu
123,2,0.005740645268220793,0.004913848201930523,46.2754994998686,cpu
123,3,0.004261005818776109,0.003827956655621529,42.155136900022626,cpu
123,4,0.003529672276905992,0.0031466650534421204,40.22182499989867,cpu
123,5,0.0031196699676188555,0.0029530921421945097,40.13337619998492,cpu
2026,1,0.030568762593513186,0.008524860018491745,41.90333170001395,cpu
2026,2,0.006814138744568283,0.005554583575576544,34.622782399877906,cpu
2026,3,0.004871108864857392,0.004324729312211275,32.33869050000794,cpu
2026,4,0.0040006009088998495,0.0035128741864115,34.01780969998799,cpu
2026,5,0.003526856014369564,0.003329407245665789,33.84417099994607,cpu
