source_model,target_model,source_training,target_training,attack,epsilon,seed,evaluated_samples,jointly_clean_correct_samples,robust_accuracy,attack_success_rate,conditional_transfer_success_rate,runtime_seconds,device
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.1,42,10000,9873,0.9878,0.012199999999999989,0.0032411627671427123,25.57788949998212,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.1,42,10000,9638,0.9249,0.07509999999999994,0.05146295912014941,2.235289099990041,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.1,42,10000,9690,0.9666,0.033399999999999985,0.021671826625386997,13.450647100049537,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,42,10000,9725,0.7445,0.25549999999999995,0.23455012853470436,2.2540009999647737,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,42,10000,9688,0.9875,0.012499999999999956,0.0019611890999174236,13.464742499985732,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.1,42,10000,9801,0.9735,0.026499999999999968,0.009284766860524436,13.589730500003498,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.1,42,10000,9873,0.9767,0.023299999999999987,0.014483946115668996,25.301418499999272,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,42,10000,9688,0.6139,0.3861,0.3708711808422791,13.614986399988993,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,42,10000,9920,0.9798,0.020199999999999996,0.012298387096774194,25.637767099993653,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.15,42,10000,9824,0.2461,0.7539,0.7494910423452769,2.1555266000068514,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.15,42,10000,9797,0.9101,0.08989999999999998,0.07869756047769726,13.345277199994598,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.15,42,10000,9638,0.679,0.32099999999999995,0.30182610500103757,2.189233600067382,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.15,42,10000,9801,0.9809,0.019100000000000006,0.0073461891643709825,13.411816600040765,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.15,42,10000,9797,0.9346,0.06540000000000001,0.047769725426150864,13.185222499945667,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.15,42,10000,9924,0.5646,0.4354,0.43107617896009676,24.802584499979275,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.15,42,10000,9690,0.6085,0.39149999999999996,0.37574819401444787,13.204038999967452,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.15,42,10000,9873,0.9829,0.017100000000000004,0.007495188899017523,24.918114300002344,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.15,42,10000,9638,0.8461,0.15390000000000004,0.12803486200456526,2.147699700006342,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.15,42,10000,9690,0.8754,0.12460000000000004,0.11124871001031991,13.104918599965458,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,42,10000,9725,0.8873,0.11270000000000002,0.08915167095115681,2.1520960000052582,cpu
