model,condition,attack,epsilon,original_accuracy_mean,original_accuracy_std,purified_accuracy_mean,purified_accuracy_std,detection_rate_mean,detection_rate_std,reject_rate_mean,reject_rate_std,accepted_accuracy_mean,accepted_accuracy_std,final_safe_accuracy_mean,final_safe_accuracy_std
smallcnn_fgsm_at,Clean,NONE,0.0,0.9919333333333333,0.0003055050463303557,0.9857666666666667,0.0004932882862315929,0.04173333333333334,0.004539089482851527,0.002466666666666667,0.0005033222956847167,0.9914788661068967,0.00046269950919072876,0.9890333333333334,0.0008962886439832866
smallcnn_fgsm_at,FGSM,FGSM,0.25,0.9664666666666667,0.02318627467562076,0.9361333333333333,0.005517547764481378,1.0,0.0,0.06756666666666666,0.004409459528483432,0.9633467481788128,0.004599249483679932,0.9658333333333333,0.004158525379666877
smallcnn_fgsm_at,PGD,PGD,0.25,0.09996666666666666,0.17081171895784356,0.8972333333333333,0.07049825056931083,1.0,0.0,0.08286666666666666,0.04907721806840047,0.928533225010106,0.05439370274278384,0.9362333333333334,0.045453309377132683
smallcnn_standard,Clean,NONE,0.0,0.9925333333333333,0.0010066445913694529,0.9876999999999999,0.0006557438524301998,0.04173333333333334,0.004539089482851527,0.0014333333333333333,0.00020816659994661338,0.9921553501241988,0.0005530266843840488,0.9907333333333334,0.000750555349946567
smallcnn_standard,FGSM,FGSM,0.25,0.2847,0.052656148738775055,0.7511333333333333,0.07936411867672528,1.0,0.0,0.15466666666666665,0.060020857485821824,0.8046181849327029,0.06524015471576945,0.8372666666666667,0.04593324866949143
smallcnn_standard,PGD,PGD,0.25,0.0099,0.007200000000000001,0.8483999999999999,0.060027993469713714,1.0,0.0,0.08743333333333332,0.03881704951865009,0.8798032116051645,0.048991320951006306,0.8915333333333333,0.04067497182953338
