source_model,target_model,source_training,target_training,attack,epsilon,robust_accuracy_mean,robust_accuracy_std,attack_success_rate_mean,attack_success_rate_std,conditional_transfer_success_rate_mean,conditional_transfer_success_rate_std
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,0.9751666666666666,0.003629508690350938,0.024833333333333266,0.003629508690350929,0.0,0.0
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,0.8504666666666667,0.18751267512713196,0.1495333333333333,0.187512675127132,0.12824754548046416,0.19038017282120398
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,0.8688333333333333,0.10813918500401844,0.1311666666666666,0.10813918500401844,0.11028805811958241,0.10799376392741528
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,0.8980666666666667,0.012924524491575428,0.10193333333333332,0.012924524491575435,0.0813818161084687,0.011384267925964815
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,0.9058666666666667,0.03392290278459865,0.09413333333333333,0.03392290278459869,0.07621934224035103,0.03314394299593179
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,0.8756666666666666,0.05040082671279648,0.12433333333333328,0.050400826712796484,0.10851196207330042,0.04853200862625162
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,0.793,0.07136742954597702,0.20699999999999993,0.07136742954597702,0.19228930824373194,0.07030391565652996
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.0,0.9834666666666667,0.000945163125250444,0.016533333333333265,0.000945163125250483,0.0,0.0
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.05,0.9691000000000001,0.0035679125549822116,0.03089999999999993,0.003567912554982197,0.011409469946826699,0.002505117544469951
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.1,0.9361666666666667,0.011892995137194553,0.06383333333333327,0.0118929951371945,0.04112998311635187,0.010736005549384198
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.15,0.8741666666666666,0.028827995652374643,0.12583333333333332,0.028827995652374674,0.1018437951204037,0.02708349657420477
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.2,0.7622,0.05950957906085373,0.2378,0.05950957906085372,0.21533801086961768,0.058481971129671684
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.25,0.6006,0.0954754418685769,0.3994,0.09547544186857686,0.3809639174318515,0.0959549185612515
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.3,0.4157666666666666,0.11386559328143567,0.5842333333333333,0.1138655932814357,0.571276472438958,0.1156890103508798
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,0.9919333333333333,0.0003055050463303557,0.008066666666666633,0.00030550504633033526,0.0,0.0
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.05,0.9896333333333334,0.0010969655114603258,0.010366666666666633,0.0010969655114603284,0.0010954747591528334,0.0006471613243963142
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.1,0.9857,0.002615339366124428,0.014299999999999933,0.0026153393661243803,0.0036633805282078,0.0019793637078088814
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,0.9784666666666667,0.003906831623366113,0.021533333333333265,0.003906831623366138,0.008632187662605434,0.0033785832575231457
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,0.9596,0.012308939840619948,0.04039999999999997,0.012308939840619964,0.0254912061862948,0.012054636988082333
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,0.6967666666666666,0.1109987537467576,0.3032333333333333,0.11099875374675759,0.2906437265785385,0.11121681025857029
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.3,0.40053333333333335,0.11851600454509653,0.5994666666666666,0.11851600454509652,0.5929241115573486,0.11998742618433099
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.0,0.9925333333333333,0.0010066445913694529,0.007466666666666601,0.0010066445913694405,0.0,0.0
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.05,0.9877666666666668,0.0012662279942147788,0.012233333333333268,0.0012662279942148294,0.0035984201259006334,0.0013336578344250517
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.1,0.9749666666666666,0.007245918391296779,0.0250333333333333,0.007245918391296753,0.0140667411226916,0.006632876017146867
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.15,0.9333999999999999,0.05023106608464527,0.0666,0.05023106608464527,0.053711487693394296,0.04985628302400099
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.2,0.8482,0.11462412486034519,0.15179999999999996,0.1146241248603452,0.13753222587459868,0.11648862504900045
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.25,0.681,0.1641044789151107,0.31899999999999995,0.16410447891511065,0.30698753010425195,0.16717365507167672
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.3,0.45130000000000003,0.121336845187272,0.5487,0.12133684518727195,0.5408821667138041,0.12518852712729375
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.0,0.9751666666666666,0.003629508690350938,0.024833333333333266,0.003629508690350929,0.0,0.0
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.05,0.8579333333333333,0.18761615957409783,0.14206666666666662,0.18761615957409783,0.11960087638000577,0.1919729821046907
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.1,0.8468333333333334,0.16806969784388062,0.1531666666666666,0.1680696978438806,0.1306719162463351,0.17201753217809088
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.15,0.8229666666666667,0.1339802348607186,0.1770333333333333,0.1339802348607186,0.15461364164214653,0.13651594980859033
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.2,0.7886333333333333,0.11437553642861457,0.21136666666666662,0.11437553642861462,0.1890590648806105,0.11605873533708083
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.25,0.6915666666666667,0.15157415127037105,0.3084333333333333,0.15157415127037108,0.28846684270092193,0.15434009940350366
